"","AnimalID","Sex","BrainRegion","Condition","num","TotalAreaBrainRegion","MicrogliaDensity"
"1","LPS6_mouse1","F","FC","2xLPS",438,1573168.54743972,0.00027841899122178
"2","LPS6_mouse1","F","HC","2xLPS",391,1357817.48968597,0.000287962117861973
"3","LPS6_mouse1","F","STR","2xLPS",887,3647116.00590994,0.000243205864184925
"4","LPS6_mouse10","F","FC","PBS",405,1297808.28080121,0.000312064583029144
"5","LPS6_mouse10","F","HC","PBS",734,2208898.20084876,0.000332292361738519
"6","LPS6_mouse10","F","STR","PBS",1095,4281067.22451756,0.000255777343025347
"7","LPS6_mouse11","F","FC","PBS",261,1144700.64544529,0.000228007209604106
"8","LPS6_mouse11","F","HC","PBS",669,2011211.28805619,0.000332635364555148
"9","LPS6_mouse13","F","FC","PBS",464,1405513.80762805,0.000330128382575656
"10","LPS6_mouse13","F","STR","PBS",1376,4413031.69210215,0.000311803788416607
"11","LPS6_mouse14","F","STR","1xLPS",893,3365720.3418658,0.000265322103233616
"12","LPS6_mouse15","F","FC","1xLPS",369,1551589.4587546,0.000237820641225664
"13","LPS6_mouse15","F","HC","1xLPS",618,1863885.12379701,0.000331565498382777
"14","LPS6_mouse15","F","STR","1xLPS",1310,4809288.02779989,0.000272389591230053
"15","LPS6_mouse16","F","FC","1xLPS",241,989110.996609311,0.000243653139866155
"16","LPS6_mouse16","F","HC","1xLPS",417,1401120.4811034,0.000297618945425455
"17","LPS6_mouse16","F","STR","1xLPS",853,3427460.34796242,0.00024887231751845
"18","LPS6_mouse2","F","FC","2xLPS",378,1575304.73948248,0.000239953572490476
"19","LPS6_mouse2","F","HC","2xLPS",487,1643434.9426817,0.00029633056189333
"20","LPS6_mouse2","F","STR","2xLPS",772,2477412.49167302,0.000311615446597939
"21","LPS6_mouse3","F","HC","2xLPS",420,1318698.47290292,0.000318495856809049
"22","LPS6_mouse3","F","STR","2xLPS",1244,4104944.82394146,0.000303049140330599
"23","LPS6_mouse4","F","FC","2xLPS",230,977984.714715709,0.00023517749974943
"24","LPS6_mouse4","F","HC","2xLPS",430,1460447.44787957,0.000294430313548302
"25","LPS6_mouse4","F","STR","2xLPS",704,3012043.66673557,0.000233728351210456
"26","LPS6_mouse5","F","FC","2xLPS",266,1115997.25489605,0.000238351840771129
"27","LPS6_mouse5","F","HC","2xLPS",404,1367759.48631536,0.00029537356826407
"28","LPS6_mouse5","F","STR","2xLPS",1144,4716876.38538045,0.000242533385768965
"29","LPS6_mouse6","F","FC","4xLPS",409,1372607.11277948,0.000297973102566684
"30","LPS6_mouse6","F","HC","4xLPS",556,1741708.22677543,0.000319226832286008
