"","AnimalID","Cohort","Mouse","Sex","Condition","BrainRegion","Subregion","Area","TrainCounts","Density"
"1","LPS6_mouse1","LPS6","mouse1","F","2xLPS","FC","FC",1573168.54743972,7,4.44961858117e-06
"2","LPS6_mouse1","LPS6","mouse1","F","2xLPS","HC","CA1",350579.492422666,0,0
"3","LPS6_mouse1","LPS6","mouse1","F","2xLPS","HC","CA2",192821.857942023,0,0
"4","LPS6_mouse1","LPS6","mouse1","F","2xLPS","HC","CA3",436842.505738014,0,0
"5","LPS6_mouse1","LPS6","mouse1","F","2xLPS","HC","DG",377573.633583265,0,0
"6","LPS6_mouse1","LPS6","mouse1","F","2xLPS","STR","CP",1954547.69560549,0,0
"7","LPS6_mouse1","LPS6","mouse1","F","2xLPS","STR","NA",1692568.31030445,0,0
"8","LPS6_mouse10","LPS6","mouse10","F","PBS","FC","FC",1297808.28080121,0,0
"9","LPS6_mouse10","LPS6","mouse10","F","PBS","HC","CA1",849008.423203591,0,0
"10","LPS6_mouse10","LPS6","mouse10","F","PBS","HC","CA2",137764.528960185,0,0
"11","LPS6_mouse10","LPS6","mouse10","F","PBS","HC","CA3",543676.824496786,0,0
"12","LPS6_mouse10","LPS6","mouse10","F","PBS","HC","DG",678448.4241882,0,0
"13","LPS6_mouse10","LPS6","mouse10","F","PBS","STR","CP",2954494.60662791,0,0
"14","LPS6_mouse10","LPS6","mouse10","F","PBS","STR","NA",1326572.61788965,0,0
"15","LPS6_mouse11","LPS6","mouse11","F","PBS","FC","FC",1144700.64544529,0,0
"16","LPS6_mouse11","LPS6","mouse11","F","PBS","HC","CA1",921857.177180803,0,0
"17","LPS6_mouse11","LPS6","mouse11","F","PBS","HC","CA2",120633.37574385,0,0
"18","LPS6_mouse11","LPS6","mouse11","F","PBS","HC","CA3",402703.043022993,0,0
"19","LPS6_mouse11","LPS6","mouse11","F","PBS","HC","DG",566017.692108543,0,0
"20","LPS6_mouse13","LPS6","mouse13","F","PBS","FC","FC",1405513.80762805,0,0
"21","LPS6_mouse13","LPS6","mouse13","F","PBS","STR","CP",2236655.81096135,0,0
"22","LPS6_mouse13","LPS6","mouse13","F","PBS","STR","NA",2176375.8811408,0,0
"23","LPS6_mouse14","LPS6","mouse14","F","1xLPS","STR","CP",2704108.37272348,0,0
"24","LPS6_mouse14","LPS6","mouse14","F","1xLPS","STR","NA",661611.969142321,0,0
"25","LPS6_mouse15","LPS6","mouse15","F","1xLPS","FC","FC",1551589.4587546,0,0
"26","LPS6_mouse15","LPS6","mouse15","F","1xLPS","HC","CA1",928861.275991891,0,0
"27","LPS6_mouse15","LPS6","mouse15","F","1xLPS","HC","CA2",104626.089385456,0,0
"28","LPS6_mouse15","LPS6","mouse15","F","1xLPS","HC","CA3",312870.168034922,0,0
"29","LPS6_mouse15","LPS6","mouse15","F","1xLPS","HC","DG",517527.590384745,0,0
"30","LPS6_mouse15","LPS6","mouse15","F","1xLPS","STR","CP",3228461.34173852,0,0
"31","LPS6_mouse15","LPS6","mouse15","F","1xLPS","STR","NA",1580826.68606137,0,0
"32","LPS6_mouse16","LPS6","mouse16","F","1xLPS","FC","FC",989110.996609311,0,0
"33","LPS6_mouse16","LPS6","mouse16","F","1xLPS","HC","CA1",318352.082138325,0,0
"34","LPS6_mouse16","LPS6","mouse16","F","1xLPS","HC","CA2",166797.157572981,0,0
"35","LPS6_mouse16","LPS6","mouse16","F","1xLPS","HC","CA3",452856.869077563,0,0
"36","LPS6_mouse16","LPS6","mouse16","F","1xLPS","HC","DG",463114.372314534,0,0
"37","LPS6_mouse16","LPS6","mouse16","F","1xLPS","STR","CP",2899418.26486088,0,0
"38","LPS6_mouse16","LPS6","mouse16","F","1xLPS","STR","NA",528042.083101544,0,0
"39","LPS6_mouse2","LPS6","mouse2","F","2xLPS","FC","FC",1575304.73948248,1,6.34797810821365e-07
"40","LPS6_mouse2","LPS6","mouse2","F","2xLPS","HC","CA1",689843.103232745,2,2.89920996619027e-06
"41","LPS6_mouse2","LPS6","mouse2","F","2xLPS","HC","CA2",130157.93611172,0,0
