Sample,Samlple ID,SampleName,Condition,Brain Region,hemisphere,checksum fastq,fastq,checksum counts table,counts files,RNA/DNA extraction Date,Qubit RNA ng/ul,total RNA ng,Sample ID,Date ,Time ,DNA ng/ul ,A260 ,A280 ,260/280 ,260/230 ,Constant ,Cursor Pos.,Cursor abs.,340 raw,total ng DNA
21,ACHC21,PBS_1,PBS,HC,left,803774e9c41bf20ffa90f44e209eb906,ACHC21_UMI_S263_L008_R1_001.fastq.gz,97df5f37fabe1abc3c21b980ef9bda28,ACHC21.collapsedUMI.counts.txt,2019-04-22,58,2900,21,2019-04-22,4:27 PM,35.34,0.707,0.393,1.8,1.47,50,230,0.48,-0.001,1767
22,ACHC22,PBS_2,PBS,HC,right,016947baf66fd3541d2668faffd0f5ba,ACHC22_UMI_S264_L008_R1_001.fastq.gz,98e3cd6fbfec0fb2b3af3ac6f9ae05c7,ACHC22.collapsedUMI.counts.txt,2019-04-22,28.2,1410,22,2019-04-22,4:27 PM,27.18,0.544,0.271,2.01,1.27,50,230,0.427,0.009,1359
23,ACHC23,PBS_3,PBS,HC,left,5a807f997556ec3e0a8bde6d976b9311,ACHC23_UMI_S265_L008_R1_001.fastq.gz,ce6e5b23a7a213e1068f0487793888d2,ACHC23.collapsedUMI.counts.txt,2019-04-22,29.8,1490,23,2019-04-22,4:28 PM,26.23,0.525,0.29,1.81,1.09,50,230,0.483,0.131,1311.5
24,ACHC24,PBS_4,PBS,HC,right,d383523cb46a49d50a395818630fe27a,ACHC24_UMI_S266_L008_R1_001.fastq.gz,e73c0fcc7283a1dc7d298dfe6e8969c4,ACHC24.collapsedUMI.counts.txt,2019-04-22,36.8,1840,24,2019-04-22,4:28 PM,22.35,0.447,0.244,1.83,0.53,50,230,0.849,0.043,1117.5
25,ACHC25,1xLPS_1,1xLPS,HC,left,b8fd55926025a8f18e570ef84591037d,ACHC25_UMI_S267_L008_R1_001.fastq.gz,bed9c048b2ec978f89448be31737825b,ACHC25.collapsedUMI.counts.txt,2019-04-22,33,1650,25,2019-04-22,4:29 PM,47.18,0.944,0.525,1.8,1.23,50,230,0.767,0.157,2359
26,ACHC26,1xLPS_2,1xLPS,HC,right,00decee0d4f0bae8d72b648cf1766caa,ACHC26_UMI_S268_L008_R1_001.fastq.gz,d347538bb116172cc1b6b1920aba4cf9,ACHC26.collapsedUMI.counts.txt,2019-04-22,38.8,1940,26,2019-04-22,4:30 PM,33.2,0.664,0.368,1.8,0.62,50,230,1.066,0.022,1660
27,ACHC27,1xLPS_3,1xLPS,HC,left,0ce09457b1a9237bed0085773fd12ca5,ACHC27_UMI_S269_L008_R1_001.fastq.gz,fdcd63c3310703633bd85e1d9b79ad92,ACHC27.collapsedUMI.counts.txt,2019-04-22,32.2,1610,27,2019-04-22,4:30 PM,21.26,0.425,0.235,1.81,1.46,50,230,0.29,0.019,1063
28,ACHC28,1xLPS_4,1xLPS,HC,right,400a0090affb81c5fd86f2014547a30e,ACHC28_UMI_S270_L008_R1_001.fastq.gz,dae5a2eacfaf976afeaea27c73bc7f05,ACHC28.collapsedUMI.counts.txt,2019-04-22,42.2,2110,28,2019-04-22,4:31 PM,57.44,1.149,0.634,1.81,1.25,50,230,0.922,0.003,2872
29,ACHC29,2xLPS_1,2xLPS,HC,left,a86fca1261aba078a3afa1a7c09b33d9,ACHC29_UMI_S271_L008_R1_001.fastq.gz,44b5e217554e6325f4fcb99a9a3dba6e,ACHC29.collapsedUMI.counts.txt,2019-04-22,42.8,2140,29,2019-04-22,4:32 PM,80.14,1.603,0.857,1.87,2.02,50,230,0.795,0.016,4007
30,ACHC30,2xLPS_2,2xLPS,HC,right,9832b81d9a834db00ac13c2b55931f00,ACHC30_UMI_S272_L008_R1_001.fastq.gz,4575369995bc8120e0d76c4517e7a8b1,ACHC30.collapsedUMI.counts.txt,2019-04-22,41.6,2080,30,2019-04-22,4:32 PM,51.52,1.03,0.535,1.92,1.81,50,230,0.569,0.029,2576
