"","animal","cohort","Injection.Day","Animal..","LPS.Treatment","sex","lethargy","ptosis","piloerection","Total.Score","Weight.final","weight.initial","Weight.change","Percent.Weight.Loss"
"1",72,6,4,0,"1XLPS","F",0.5,0,0,0.5,19.9,19.93,-0.03,-0.150526844
"2",73,6,4,1,"1XLPS","F",0.5,0,0,0.5,19.89,19.14,0.75,3.918495298
"3",74,6,4,2,"1XLPS","F",0,0,0,0,22.23,20.91,1.32,6.31276901
"4",59,6,4,0,"2XLPS","F",1,0,0.5,1.5,18.83,20.74,-1.91,-9.209257473
"5",60,6,4,1,"2XLPS","F",0.5,0,1,1.5,16.44,19.1,-2.66,-13.92670157
"6",61,6,4,2,"2XLPS","F",1,0,0.5,1.5,19.39,21.6,-2.21,-10.23148148
"7",62,6,4,3,"2XLPS","F",0.5,0,0.5,1,19.4,22.06,-2.66,-12.05802357
"8",63,6,4,4,"2XLPS","F",0.5,0,0.5,1,22.5,23.69,-1.19,-5.023216547
"9",64,6,4,0,"4XLPS","F",0.5,0,0.5,1,19.29,22.28,-2.99,-13.42010772
"10",65,6,4,1,"4XLPS","F",0.5,0,0,0.5,20.51,22.66,-2.15,-9.488084731
"11",66,6,4,2,"4XLPS","F",1,0,0.5,1.5,20.06,22.36,-2.3,-10.2862254
"12",67,6,4,3,"4XLPS","F",0,0,0,0,19.44,22.94,-3.5,-15.25719268
"13",68,6,4,0,"PBS","F",0,0,0,0,23.1,23.16,-0.06,-0.259067358
"14",69,6,4,1,"PBS","F",0,0,0,0,23.94,25.01,-1.07,-4.278288685
"15",70,6,4,2,"PBS","F",0,0,0,0,22.76,23.51,-0.75,-3.190131859
"16",71,6,4,3,"PBS","F",0,0,0,0,22.62,22.98,-0.36,-1.566579634
"17",5,1,4,1,"1XLPS","M",0.5,0,0,0.5,NA,NA,NA,NA
"18",6,1,4,2,"1XLPS","M",0.5,0,0,0.5,NA,NA,NA,NA
"19",7,1,4,3,"1XLPS","M",0.5,0,0,0.5,NA,NA,NA,NA
"20",8,1,4,4,"1XLPS","M",0.5,0,0,0.5,NA,NA,NA,NA
"21",75,7,4,0,"1XLPS","M",0.5,0,0.5,1,28.02,28.7,-0.68,-2.369337979
"22",76,7,4,1,"1XLPS","M",0,0,0.5,0.5,28.65,29.42,-0.77,-2.617267165
"23",77,7,4,2,"1XLPS","M",0.5,0,0.5,1,30.73,31.23,-0.5,-1.601024656
"24",78,7,4,3,"1XLPS","M",0,0,0.5,0.5,29.42,30.03,-0.61,-2.031302031
"25",9,1,4,1,"2XLPS","M",1,0.5,0,1.5,NA,NA,NA,NA
"26",10,1,4,2,"2XLPS","M",1,0.5,0,1.5,NA,NA,NA,NA
"27",11,1,4,3,"2XLPS","M",1,0.5,0,1.5,NA,NA,NA,NA
"28",12,1,4,4,"2XLPS","M",1,0.5,0,1.5,NA,NA,NA,NA
"29",79,7,4,1,"2XLPS","M",1,0,1,2,23.97,26.29,-2.32,-8.824648155
"30",80,7,4,2,"2XLPS","M",0.5,0,0.5,1,24.62,27.44,-2.82,-10.27696793
"31",81,7,4,3,"2XLPS","M",1,0,1,2,27.21,30.76,-3.55,-11.54096229
"32",13,1,4,1,"3XLPS","M",0.5,0,0,0.5,NA,NA,NA,NA
"33",14,1,4,2,"3XLPS","M",0.5,0,0,0.5,NA,NA,NA,NA
"34",15,1,4,3,"3XLPS","M",0.5,0,0,0.5,NA,NA,NA,NA
"35",16,1,4,4,"3XLPS","M",0.5,0,0,0.5,NA,NA,NA,NA
"36",82,7,4,0,"3XLPS","M",0.5,0,0.5,1,26.83,29.19,-2.36,-8.084960603
"37",83,7,4,1,"3XLPS","M",0,0,0.5,0.5,24.91,27.69,-2.78,-10.03972553
"38",84,7,4,2,"3XLPS","M",0.5,0,0.5,1,24.06,26.68,-2.62,-9.820089955
"39",85,7,4,3,"3XLPS","M",0.5,0,0.5,1,26.67,29.09,-2.42,-8.319009969
"40",17,1,4,1,"4XLPS","M",0,0,0,0,NA,NA,NA,NA
"41",18,1,4,2,"4XLPS","M",0,0,0,0,NA,NA,NA,NA
"42",19,1,4,3,"4XLPS","M",0,0,0,0,NA,NA,NA,NA
"43",20,1,4,4,"4XLPS","M",0,0,0,0,NA,NA,NA,NA
"44",86,7,4,0,"4XLPS","M",0.5,0,0.5,1,25.96,29.65,-3.69,-12.44519393
"45",87,7,4,1,"4XLPS","M",0,0,0.5,0.5,27.14,30.37,-3.23,-10.63549555
"46",88,7,4,2,"4XLPS","M",1,0,1,2,27.6,31,-3.4,-10.96774194
"47",89,7,4,3,"4XLPS","M",0.5,0,1,1.5,28.48,32.21,-3.73,-11.58025458
"48",1,1,4,1,"PBS","M",0,0,0,0,NA,NA,NA,NA
"49",2,1,4,2,"PBS","M",0,0,0,0,NA,NA,NA,NA
"50",3,1,4,3,"PBS","M",0,0,0,0,NA,NA,NA,NA
"51",4,1,4,4,"PBS","M",0,0,0,0,NA,NA,NA,NA
"52",90,7,4,0,"PBS","M",0,0,0,0,27.71,27.81,-0.1,-0.359582884
"53",91,7,4,1,"PBS","M",0,0,0,0,30.81,30.8,0.01,0.032467532
"54",92,7,4,2,"PBS","M",0,0,0,0,29.1,29.45,-0.35,-1.188455008
"55",93,7,4,3,"PBS","M",0,0,0,0,28.75,29.06,-0.31,-1.066758431
"56",94,8,4,NA,"PBS","F",NA,NA,NA,0.5,18.31,18.09,0.17,0.939745716
"57",95,8,4,NA,"PBS","F",NA,NA,NA,0,21.95,22.33,0.16,0.716524854
"58",96,8,4,NA,"1XLPS","F",NA,NA,NA,0,17.09,19.08,-0.35,-1.834381551
"59",97,8,4,NA,"1XLPS","F",NA,NA,NA,1,19.7,22.73,-0.81,-3.563572371
"60",98,8,4,NA,"1XLPS","F",NA,NA,NA,1,19.89,22.59,-0.18,-0.796812749
"61",99,8,4,NA,"2XLPS","F",NA,NA,NA,1.5,18.62,21.26,-2.13,-10.01881468
"62",100,8,4,NA,"2XLPS","F",NA,NA,NA,0,18.52,21.21,-2.69,-12.68269684
"63",101,8,4,NA,"2XLPS","F",NA,NA,NA,2,21.53,23.47,-2.06,-8.777162335
"64",102,8,4,NA,"4XLPS","F",NA,NA,NA,0.5,19.55,19.91,-1.51,-7.584128579
"65",103,8,4,NA,"4XLPS","F",NA,NA,NA,1,18.69,19.21,-1.93,-10.0468506
"66",104,8,4,NA,"4XLPS","F",NA,NA,NA,1,20.08,21.27,-2.14,-10.06111895
"67",105,8,4,NA,"PBS","M",NA,NA,NA,0.5,28.88,28.8,0.56,1.944444444
"68",106,8,4,NA,"PBS","M",NA,NA,NA,0.5,30.04,31.9,-0.12,-0.376175549
"69",107,8,4,NA,"1XLPS","M",NA,NA,NA,0.5,25.67,27.34,-0.38,-1.389904901
"70",108,8,4,NA,"1XLPS","M",NA,NA,NA,1.5,24.59,25.86,-0.53,-2.049497293
"71",109,8,4,NA,"2XLPS","M",NA,NA,NA,2,24.19,27.64,-1.34,-4.84804631
"72",110,8,4,NA,"2XLPS","M",NA,NA,NA,1.5,26.44,29.21,-0.62,-2.122560767
"73",111,8,4,NA,"2XLPS","M",NA,NA,NA,2,26.11,28.22,-1.58,-5.598866052
"74",112,8,4,NA,"4XLPS","M",NA,NA,NA,1.5,26.71,30.4,-3.49,-11.48026316
"75",113,8,4,NA,"4XLPS","M",NA,NA,NA,1,26.4,29.21,-3.2,-10.95515235
